name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_Insert<ChainingHashMap<0.75>, KeyPattern::SEQUENTIAL>/256",90403,8031.12,8030.89,ns,,,,,
"BM_Insert<ChainingHashMap<0.75>, KeyPattern::SEQUENTIAL>/256",90403,7874.51,7874.44,ns,,,,,
"BM_Insert<ChainingHashMap<0.75>, KeyPattern::SEQUENTIAL>/256",90403,7986.47,7986.33,ns,,,,,
"BM_Insert<ChainingHashMap<0.75>, KeyPattern::SEQUENTIAL>/256",90403,7903.92,7903.69,ns,,,,,
"BM_Insert<ChainingHashMap<0.75>, KeyPattern::SEQUENTIAL>/256",90403,7872.28,7872.12,ns,,,,,
"BM_Insert<ChainingHashMap<0.75>, KeyPattern::SEQUENTIAL>/256",90403,8060.54,8060.39,ns,,,,,
"BM_Insert<ChainingHashMap<0.75>, KeyPattern::SEQUENTIAL>/256",90403,8104.59,8091.87,ns,,,,,
"BM_Insert<ChainingHashMap<0.75>, KeyPattern::SEQUENTIAL>/256",90403,7958.66,7958.52,ns,,,,,
"BM_Insert<ChainingHashMap<0.75>, KeyPattern::SEQUENTIAL>/256",90403,8107.71,8107.55,ns,,,,,
"BM_Insert<ChainingHashMap<0.75>, KeyPattern::SEQUENTIAL>/256",90403,7784.6,7784.44,ns,,,,,
"BM_Insert<ChainingHashMap<0.75>, KeyPattern::SEQUENTIAL>/256_mean",10,7968.44,7967.02,ns,,,,,
"BM_Insert<ChainingHashMap<0.75>, KeyPattern::SEQUENTIAL>/256_median",10,7972.57,7972.42,ns,,,,,
"BM_Insert<ChainingHashMap<0.75>, KeyPattern::SEQUENTIAL>/256_stddev",10,108.93,107.239,ns,,,,,
"BM_Insert<ChainingHashMap<0.75>, KeyPattern::SEQUENTIAL>/256_cv",10,0.0136702,0.0134603,,,,,,
"BM_Insert<ChainingHashMap<0.75>, KeyPattern::SEQUENTIAL>/512",46276,15679,15678.5,ns,,,,,
"BM_Insert<ChainingHashMap<0.75>, KeyPattern::SEQUENTIAL>/512",46276,15495.6,15495.3,ns,,,,,
"BM_Insert<ChainingHashMap<0.75>, KeyPattern::SEQUENTIAL>/512",46276,15880.1,15879.9,ns,,,,,
"BM_Insert<ChainingHashMap<0.75>, KeyPattern::SEQUENTIAL>/512",46276,15441.3,15441,ns,,,,,
"BM_Insert<ChainingHashMap<0.75>, KeyPattern::SEQUENTIAL>/512",46276,15719.3,15719.1,ns,,,,,
"BM_Insert<ChainingHashMap<0.75>, KeyPattern::SEQUENTIAL>/512",46276,15842.3,15842,ns,,,,,
"BM_Insert<ChainingHashMap<0.75>, KeyPattern::SEQUENTIAL>/512",46276,15779.9,15779.6,ns,,,,,
