name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_SPFA/10/0",755385,919.642,921.318,ns,,,,,
"BM_SPFA/25/0",435969,1600.12,1601.36,ns,,,,,
"BM_SPFA/50/0",267669,2589.7,2589.48,ns,,,,,
"BM_SPFA/100/0",152384,4644.79,4647.2,ns,,,,,
"BM_SPFA/200/0",83829,8423.21,8423.76,ns,,,,,
"BM_SPFA/500/0",34908,20415.7,20415.7,ns,,,,,
"BM_SPFA/10/5",620391,1120.88,1123.22,ns,,,,,
"BM_SPFA/25/5",248452,2800.82,2800.87,ns,,,,,
"BM_SPFA/50/5",94851,7430.91,7372.98,ns,,,,,
"BM_SPFA/100/5",31217,22406,22408,ns,,,,,
"BM_SPFA/200/5",8457,81795,81801.9,ns,,,,,
"BM_SPFA/500/5",1522,465059,465057,ns,,,,,
"BM_SPFA/10/10",543103,1283.84,1285.35,ns,,,,,
"BM_SPFA/25/10",185903,3764.59,3766.8,ns,,,,,
"BM_SPFA/50/10",63702,11054.9,11060.3,ns,,,,,
"BM_SPFA/100/10",17955,38793.3,38819.2,ns,,,,,
"BM_SPFA/200/10",5004,140790,140795,ns,,,,,
"BM_SPFA/500/10",824,842572,842584,ns,,,,,
"BM_SPFA/10/15",488360,1419.2,1421.02,ns,,,,,
"BM_SPFA/25/15",141971,4584.44,4588.07,ns,,,,,
"BM_SPFA/50/15",50029,14713.6,14485.3,ns,,,,,
"BM_SPFA/100/15",13485,53009,52561.7,ns,,,,,
"BM_SPFA/200/15",3341,199030,198069,ns,,,,,
"BM_SPFA/500/15",554,1.29263e+06,1.28525e+06,ns,,,,,
"BM_SPFA/10/20",440202,1621.34,1615.67,ns,,,,,
"BM_SPFA/25/20",127651,5470.29,5464.38,ns,,,,,
"BM_SPFA/50/20",39452,17208.5,17207.7,ns,,,,,
"BM_SPFA/100/20",10708,66349.1,66344.4,ns,,,,,
"BM_SPFA/200/20",2758,254457,254448,ns,,,,,
"BM_SPFA/500/20",432,1.63275e+06,1.63272e+06,ns,,,,,
"BM_SPFA/10/25",423493,1661.8,1662.6,ns,,,,,
"BM_SPFA/25/25",115354,6065.43,6064.65,ns,,,,,
