name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_InsertDense<IndexArenaSentinel>/256",9162,77739.6,77736.8,ns,,,,,
"BM_InsertDense<IndexArenaSentinel>/512",4736,148590,148589,ns,,,,,
"BM_InsertDense<IndexArenaSentinel>/4096",708,1.00781e+06,1.00779e+06,ns,,,,,
"BM_InsertDense<IndexArenaSentinel>/32768",100,6.96395e+06,6.9637e+06,ns,,,,,
"BM_InsertDense<IndexArenaSentinel>/65536",49,1.41403e+07,1.41398e+07,ns,,,,,
"BM_InsertSparse<IndexArenaSentinel>/256",7918,87925.6,87923.8,ns,,,,,
"BM_InsertSparse<IndexArenaSentinel>/512",4074,172714,172711,ns,,,,,
"BM_InsertSparse<IndexArenaSentinel>/4096",576,1.19588e+06,1.19585e+06,ns,,,,,
"BM_InsertSparse<IndexArenaSentinel>/32768",81,8.70126e+06,8.70105e+06,ns,,,,,
"BM_InsertSparse<IndexArenaSentinel>/65536",39,1.79605e+07,1.796e+07,ns,,,,,
"BM_SearchHitDense<IndexArenaSentinel>/256",40275,17319.6,17319.1,ns,,,,,
"BM_SearchHitDense<IndexArenaSentinel>/512",16586,40597.6,40596.5,ns,,,,,
"BM_SearchHitDense<IndexArenaSentinel>/4096",2089,346820,346813,ns,,,,,
"BM_SearchHitDense<IndexArenaSentinel>/32768",258,2.764e+06,2.76396e+06,ns,,,,,
"BM_SearchHitDense<IndexArenaSentinel>/65536",129,5.5218e+06,5.5216e+06,ns,,,,,
"BM_SearchMiss<IndexArenaSentinel>/256",99973,6970.56,6970.41,ns,,,,,
"BM_SearchMiss<IndexArenaSentinel>/512",49794,13854.3,13854,ns,,,,,
"BM_SearchMiss<IndexArenaSentinel>/4096",6279,110896,110893,ns,,,,,
"BM_SearchMiss<IndexArenaSentinel>/32768",791,883114,883096,ns,,,,,
"BM_SearchMiss<IndexArenaSentinel>/65536",393,1.77307e+06,1.77302e+06,ns,,,,,
"BM_InsertDense<IndexArenaZeroNull>/256",8941,78243.1,78241.6,ns,,,,,
"BM_InsertDense<IndexArenaZeroNull>/512",4768,148036,148033,ns,,,,,
"BM_InsertDense<IndexArenaZeroNull>/4096",693,999655,999633,ns,,,,,
"BM_InsertDense<IndexArenaZeroNull>/32768",98,7.07885e+06,7.07867e+06,ns,,,,,
"BM_InsertDense<IndexArenaZeroNull>/65536",49,1.43145e+07,1.4314e+07,ns,,,,,
"BM_InsertSparse<IndexArenaZeroNull>/256",7936,88272.4,88270.7,ns,,,,,
"BM_InsertSparse<IndexArenaZeroNull>/512",4069,172419,172416,ns,,,,,
