name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_InsertDense<IndexArenaSentinel>/256",43660,16190.6,16190.1,ns,,,,,
"BM_InsertDense<IndexArenaSentinel>/512",22684,30701.9,30701,ns,,,,,
"BM_InsertDense<IndexArenaSentinel>/4096",4581,153539,153536,ns,,,,,
"BM_InsertDense<IndexArenaSentinel>/32768",466,1.50912e+06,1.50909e+06,ns,,,,,
"BM_InsertDense<IndexArenaSentinel>/65536",200,3.52552e+06,3.52544e+06,ns,,,,,
"BM_InsertSparse<IndexArenaSentinel>/256",40170,17502.6,17502.4,ns,,,,,
"BM_InsertSparse<IndexArenaSentinel>/512",20524,33965.4,33964.7,ns,,,,,
"BM_InsertSparse<IndexArenaSentinel>/4096",2981,231644,231642,ns,,,,,
"BM_InsertSparse<IndexArenaSentinel>/32768",452,1.55507e+06,1.55503e+06,ns,,,,,
"BM_InsertSparse<IndexArenaSentinel>/65536",181,3.88784e+06,3.88775e+06,ns,,,,,
"BM_SearchHitDense<IndexArenaSentinel>/256",758232,912.49,912.473,ns,,,,,
"BM_SearchHitDense<IndexArenaSentinel>/512",259547,2726.93,2726.89,ns,,,,,
"BM_SearchHitDense<IndexArenaSentinel>/4096",28105,23330.9,23330.4,ns,,,,,
"BM_SearchHitDense<IndexArenaSentinel>/32768",3559,207046,207038,ns,,,,,
"BM_SearchHitDense<IndexArenaSentinel>/65536",1228,579520,579500,ns,,,,,
"BM_SearchMiss<IndexArenaSentinel>/256",5578400,127.372,127.369,ns,,,,,
"BM_SearchMiss<IndexArenaSentinel>/512",2817253,249.112,249.109,ns,,,,,
"BM_SearchMiss<IndexArenaSentinel>/4096",361563,1969.08,1969.03,ns,,,,,
"BM_SearchMiss<IndexArenaSentinel>/32768",45162,15568.7,15568.6,ns,,,,,
"BM_SearchMiss<IndexArenaSentinel>/65536",22527,31595.8,31595.4,ns,,,,,
"BM_InsertDense<IndexArenaZeroNull>/256",42403,16361.1,16360.8,ns,,,,,
"BM_InsertDense<IndexArenaZeroNull>/512",23316,30048.3,30047.8,ns,,,,,
"BM_InsertDense<IndexArenaZeroNull>/4096",4571,151645,151642,ns,,,,,
"BM_InsertDense<IndexArenaZeroNull>/32768",464,1.52002e+06,1.51997e+06,ns,,,,,
"BM_InsertDense<IndexArenaZeroNull>/65536",202,3.50733e+06,3.5072e+06,ns,,,,,
"BM_InsertSparse<IndexArenaZeroNull>/256",39836,17470.7,17470.3,ns,,,,,
"BM_InsertSparse<IndexArenaZeroNull>/512",21247,32909.4,32908.7,ns,,,,,
"BM_InsertSparse<IndexArenaZeroNull>/4096",3024,234713,234708,ns,,,,,
"BM_InsertSparse<IndexArenaZeroNull>/32768",453,1.54143e+06,1.54141e+06,ns,,,,,
"BM_InsertSparse<IndexArenaZeroNull>/65536",179,3.88123e+06,3.88111e+06,ns,,,,,
"BM_SearchHitDense<IndexArenaZeroNull>/256",774088,903.667,903.638,ns,,,,,
"BM_SearchHitDense<IndexArenaZeroNull>/512",252618,2697.03,2696.98,ns,,,,,
"BM_SearchHitDense<IndexArenaZeroNull>/4096",28389,24917.5,24916.9,ns,,,,,
"BM_SearchHitDense<IndexArenaZeroNull>/32768",3527,204023,204018,ns,,,,,
"BM_SearchHitDense<IndexArenaZeroNull>/65536",1213,582091,582074,ns,,,,,
"BM_SearchMiss<IndexArenaZeroNull>/256",9977053,69.9491,69.9475,ns,,,,,
"BM_SearchMiss<IndexArenaZeroNull>/512",4918770,138.47,138.467,ns,,,,,
"BM_SearchMiss<IndexArenaZeroNull>/4096",697447,1006.7,1006.68,ns,,,,,
"BM_SearchMiss<IndexArenaZeroNull>/32768",87404,8043.27,8043.13,ns,,,,,
"BM_SearchMiss<IndexArenaZeroNull>/65536",43829,15978.7,15978.3,ns,,,,,
"BM_InsertDense<DataOrientedIndexArenaTrie>/256",45337,15532.2,15531.8,ns,,,,,
"BM_InsertDense<DataOrientedIndexArenaTrie>/512",24729,28532.4,28531.6,ns,,,,,
"BM_InsertDense<DataOrientedIndexArenaTrie>/4096",5270,131681,131678,ns,,,,,
"BM_InsertDense<DataOrientedIndexArenaTrie>/32768",528,1.32706e+06,1.32703e+06,ns,,,,,
"BM_InsertDense<DataOrientedIndexArenaTrie>/65536",231,3.02398e+06,3.02392e+06,ns,,,,,
"BM_InsertSparse<DataOrientedIndexArenaTrie>/256",43485,16077.5,16077.3,ns,,,,,
"BM_InsertSparse<DataOrientedIndexArenaTrie>/512",22952,30501,30500.7,ns,,,,,
